,Order ID,Order Date,Ship Mode,Customer ID,Customer Name,Segment,State,Category,Sub-Category,Sales,Month,Year
0,CA-2017-152156,2017-08-11,Second Class,CG-12520,Claire Gute,Consumer,Kentucky,Furniture,Bookcases,261.96,August,2017
1,CA-2017-152156,2017-08-11,Second Class,CG-12520,Claire Gute,Consumer,Kentucky,Furniture,Chairs,731.94,August,2017
2,CA-2017-138688,2017-12-06,Second Class,DV-13045,Darrin Van Huff,Corporate,California,Office Supplies,Labels,14.62,December,2017
3,US-2016-108966,2016-11-10,Standard Class,SO-20335,Sean O'Donnell,Consumer,Florida,Furniture,Tables,957.5775,November,2016
4,US-2016-108966,2016-11-10,Standard Class,SO-20335,Sean O'Donnell,Consumer,Florida,Office Supplies,Storage,22.368,November,2016
5,CA-2015-115812,2015-09-06,Standard Class,BH-11710,Brosina Hoffman,Consumer,California,Furniture,Furnishings,48.86,September,2015
6,CA-2015-115812,2015-09-06,Standard Class,BH-11710,Brosina Hoffman,Consumer,California,Office Supplies,Art,7.28,September,2015
7,CA-2015-115812,2015-09-06,Standard Class,BH-11710,Brosina Hoffman,Consumer,California,Technology,Phones,907.152,September,2015
8,CA-2015-115812,2015-09-06,Standard Class,BH-11710,Brosina Hoffman,Consumer,California,Office Supplies,Binders,18.504,September,2015
9,CA-2015-115812,2015-09-06,Standard Class,BH-11710,Brosina Hoffman,Consumer,California,Office Supplies,Appliances,114.9,September,2015
10,CA-2015-115812,2015-09-06,Standard Class,BH-11710,Brosina Hoffman,Consumer,California,Furniture,Tables,1706.184,September,2015
11,CA-2015-115812,2015-09-06,Standard Class,BH-11710,Brosina Hoffman,Consumer,California,Technology,Phones,911.424,September,2015
12,CA-2018-114412,2018-04-15,Standard Class,AA-10480,Andrew Allen,Consumer,North Carolina,Office Supplies,Paper,15.552,April,2018
13,CA-2017-161389,2017-05-12,Standard Class,IM-15070,Irene Maddox,Consumer,Washington,Office Supplies,Binders,407.976,May,2017
14,US-2016-118983,2016-11-22,Standard Class,HP-14815,Harold Pawlan,Home Office,Texas,Office Supplies,Appliances,68.81,November,2016
15,US-2016-118983,2016-11-22,Standard Class,HP-14815,Harold Pawlan,Home Office,Texas,Office Supplies,Binders,2.544,November,2016
16,CA-2015-105893,2015-11-11,Standard Class,PK-19075,Pete Kriz,Consumer,Wisconsin,Office Supplies,Storage,665.88,November,2015
17,CA-2015-167164,2015-05-13,Second Class,AG-10270,Alejandro Grove,Consumer,Utah,Office Supplies,Storage,55.5,May,2015
18,CA-2015-143336,2015-08-27,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,California,Office Supplies,Art,8.56,August,2015
19,CA-2015-143336,2015-08-27,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,California,Technology,Phones,213.48,August,2015
20,CA-2015-143336,2015-08-27,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,California,Office Supplies,Binders,22.72,August,2015
21,CA-2017-137330,2017-09-12,Standard Class,KB-16585,Ken Black,Corporate,Nebraska,Office Supplies,Art,19.46,September,2017
22,CA-2017-137330,2017-09-12,Standard Class,KB-16585,Ken Black,Corporate,Nebraska,Office Supplies,Appliances,60.34,September,2017
23,US-2018-156909,2018-07-16,Second Class,SF-20065,Sandra Flanagan,Consumer,Pennsylvania,Furniture,Chairs,71.372,July,2018
24,CA-2016-106320,2016-09-25,Standard Class,EB-13870,Emily Burns,Consumer,Utah,Furniture,Tables,1044.63,September,2016
25,CA-2017-121755,2017-01-16,Second Class,EH-13945,Eric Hoffmann,Consumer,California,Office Supplies,Binders,11.648,January,2017
26,CA-2017-121755,2017-01-16,Second Class,EH-13945,Eric Hoffmann,Consumer,California,Technology,Accessories,90.57,January,2017
27,US-2016-150630,2016-09-17,Standard Class,TB-21520,Tracy Blumstein,Consumer,Pennsylvania,Furniture,Bookcases,3083.43,September,2016
28,US-2016-150630,2016-09-17,Standard Class,TB-21520,Tracy Blumstein,Consumer,Pennsylvania,Office Supplies,Binders,9.618,September,2016
29,US-2016-150630,2016-09-17,Standard Class,TB-21520,Tracy Blumstein,Consumer,Pennsylvania,Furniture,Furnishings,124.2,September,2016
30,US-2016-150630,2016-09-17,Standard Class,TB-21520,Tracy Blumstein,Consumer,Pennsylvania,Office Supplies,Envelopes,3.264,September,2016
31,US-2016-150630,2016-09-17,Standard Class,TB-21520,Tracy Blumstein,Consumer,Pennsylvania,Office Supplies,Art,86.304,September,2016
32,US-2016-150630,2016-09-17,Standard Class,TB-21520,Tracy Blumstein,Consumer,Pennsylvania,Office Supplies,Binders,6.858,September,2016
